Хүйс,Аймаг,Код,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Эрэгтэй,Дорноговь,344,,,,,,39.1,61.4,53.4,66.3,75.6,89.2,120.2,144.5,250.8,285.1,310,355.9,488.4,669.9,812.8,820.8,854.3,933.9,1010,1129.5,1253.2,1360.2,1560.9,2010.5,2495.2
Эрэгтэй,Дундговь,348,,,,,,49,56.3,60.2,66.3,77.9,88.4,107.6,146.6,249.6,255.7,280.6,334.5,473.3,645.4,578.8,609,634.6,646.2,649.2,783.2,895.4,944.1,1057.1,1393.4,1981.5
Эрэгтэй,Өмнөговь,346,,,,,,64,67.9,67.4,86.8,97.1,105.1,140.1,211.2,299.1,322.2,421.2,623.4,633.5,1206.2,912.6,927.1,826.6,967.1,1071.4,1238.3,1382.1,1380.6,2024.8,2699.6,3111.3
Эрэгтэй,Сэлэнгэ,343,,,,,,61.9,61.4,66.4,76,83.9,112.4,139,175.3,294.6,288.2,306.3,443.4,517.8,662,654.4,679.7,686.2,746.2,857.5,1001.2,1115.6,1244.6,1468.4,1802.2,2408.9
Эрэгтэй,Төв,341,,,,,,51.6,59.9,70.6,78.4,77.2,71.7,92.7,141.8,236.6,249.1,275.6,321.7,461.3,549.2,562,577,609.9,654.1,673.4,770.8,937.9,997,1146.6,1533.5,1985.7
Эрэгтэй,Зүүн бүс,4,,,,,,49.3,56.7,60.8,71.6,81,93.8,119,172.5,267.6,287.3,317.4,385.5,504.3,652.5,615.7,647.8,679.4,737.2,778.5,899.5,1048.5,1103.7,1244.3,1715.8,2194.3
Эрэгтэй,Дорнод,421,,,,,,45.9,54.1,60.7,70.1,79.8,102.5,132.8,179,294.7,322.1,360.9,460.6,615.7,662.6,646.8,700.5,724.3,811.5,836.3,931.7,1064.5,1125.9,1271.4,1817.7,2215.3
Эрэгтэй,Сүхбаатар,422,,,,,,62,63.2,62.9,72.2,86.8,87.2,116.3,200.7,271.2,284.1,283,335.3,426.2,660.7,576.4,610.1,650.2,688.1,724.7,826.8,941.8,980.1,1119.2,1488.6,2030.9
Эрэгтэй,Хэнтий,423,,,,,,42.3,53.9,58,68.8,76.4,84.6,96.2,123.1,191.7,198.1,226.6,292.8,368.6,626.2,611.5,615.4,645.6,681.6,746.8,914.7,1105.4,1165.9,1300.7,1762.9,2297.5
Эрэгтэй,Улаанбаатар,5,,,,,,73.6,83,89.3,95.3,98,112.2,148.5,204.5,299.4,368.2,413.2,532.1,655.7,924,931.8,922.4,1002,1152.3,1217.2,1329.1,1419.6,1486.2,1742.3,2196.4,2650.5
Эрэгтэй,Улаанбаатар,511,,,,,,73.6,83,89.3,95.3,98,112.2,148.5,204.5,299.4,368.2,413.2,532.1,655.7,924,931.8,922.4,1002,1152.3,1217.2,1329.1,1419.6,1486.2,1742.3,2196.4,2650.5
